full_name,credentials,city,state_full,state_code,province,country,website_url,submitted_by,comments,source_region
Emily Zoulek,,Ames,Iowa,IA,,,,Patient submitted ,,United States
Emily Zoulek,,Ames,Iowa,IA,,,https://www.mcfarlandclinic.com/doctors/emily-zoulek,Patient submitted,,United States
Ania Barr,,Bettendorf,Iowa,IA,,,,Patient submitted ,,United States
Abbi Madden,,Bettendorf,Iowa,IA,,,https://www.genesishealth.com/ghg/ghg-doctor-profile/maddena/,Patient submitted ,,United States
Clare B. Harney,,Bettendorf,Iowa,IA,,,https://www.genesishealth.com/ghg/ghg-doctor-profile/harneyc/,Patient submitted,,United States
Brett Richman,,Cedar Falls,Iowa,IA,,,https://www.unitypoint.org/providers/Brett-Richman-1168246,Patient submitted,,United States
Debra Piehl,,Cedar Rapids,Iowa,IA,,,https://www.ob-gynassoc.com/provider/debra-j-piehl-md-facog,Patient submitted,,United States
Kristin Orr,,Cedar Rapids,Iowa,IA,,,,,,United States
Brandon E. Bourgeous,,Cedar Rapids,Iowa,IA,,,https://www.cr-obgyn.com/about-us/physicians/dr-bourgeous/,Patient submitted,,United States
Daniel Gabrielson,,Clarion,Iowa,IA,,,https://www.iowaspecialtyhospital.com/doctors/daniel-m-gabrielson,Patient submitted,,United States
Enrique Bedia,,Clive,Iowa,IA,,,,Patient submitted ,,United States
Lori Platt,,Council Bluffs,Iowa,IA,,,,,,United States
Tana Perry,,Council Bluffs,Iowa,IA,,,,,,United States
Kenneth L. Naylor,,Davenport,Iowa,IA,,,https://obgyngroup.com/providers/view/kenneth-l-naylor-md/2,Patient submitted,,United States
Briana R. Barclay,,Davenport,Iowa,IA,,,https://obgyngroup.com/providers/view/briana-r-barclay-md/3,Patient submitted,,United States
Lyndsey J. Day,,Davenport,Iowa,IA,,,https://obgyngroup.com/providers/view/lyndsey-j-day-md/5,Patient submitted,,United States
Jen Steines,,Davenport,Iowa,IA,,,https://obgyngroup.com/providers/view/jen-steines-md/6,Patient submitted,,United States
Ashley Kaiser,,Davenport,Iowa,IA,,,https://obgyngroup.com/providers/view/ashley-kaiser-md/8,Patient submitted,,United States
Shirley Hinshaw,,Davenport,Iowa,IA,,,https://obgyngroup.com/providers/view/shirley-hinshaw-md/20,Patient submitted,,United States
Sherri Schilling,,Decorah,Iowa,IA,,,https://www.gundersenhealth.org/find-a-doctor/profile/sherri-schilling/,Patient submitted,,United States
Elleson A. Schurtz,,Decorah,Iowa,IA,,,https://providers.gundersenhealth.org/provider/Elleson+A.+Schurtz/2092286,Patient submitted,,United States
Alex Dickenson,,Des Moines,Iowa,IA,,,https://doctors.unitypoint.org/provider/Alex+Dickinson/1166019,Patient submitted ,,United States
Erin Lehman,,Des Moines,Iowa,IA,,,https://doctors.unitypoint.org/provider/Erin+Lehman/1165529,Patient submitted,,United States
Jennifer Schuchmann,,Des Moines,Iowa,IA,,,https://www.mercyone.org/provider/jennifer-k-schuchmann-md-obstetrics-and-gynecology,,,United States
Kaaren Olesen,,Des Moines,Iowa,IA,,,https://www.broadlawns.org/about/medical-staff/kaaren-olesen,,,United States
Lindsey Jenkins,,Des Moines,Iowa,IA,,,https://www.mercyone.org/provider/lindsey-jenkins-md-obstetrics-and-gynecology,,,United States
Therese Tran,,Des Moines,Iowa,IA,,,https://www.iowaclinic.com/doctors/therese-tran/,Patient submitted,,United States
Francesca Turner,,Des Moines,Iowa,IA,,,https://www.broadlawns.org/about/medical-staff/francesca-turner,Patient submitted,,United States
Evan Olson,,Des Moines,Iowa,IA,,,https://www.iowaclinic.com/doctors/evan-olson/,Patient submitted,,United States
Enrique R. Bedia,,Des Moines,Iowa,IA,,,https://doctors.unitypoint.org/provider/Enrique+R.+Bedia/1166980,Patient submitted ,,United States
Amy Bingaman,,Des Moines,Iowa,IA,,,https://www.broadlawns.org/about/medical-staff/amy-bingaman,Patient submitted ,,United States
Deborah Lebeau,,Dubuque,Iowa,IA,,,,Patient submitted,,United States
Laura R. Witthoeft,,Dubuque,Iowa,IA,,,,,,United States
Sarah Hirsch,,Dubuque,Iowa,IA,,,,,,United States
Erika O'donnell,,Dubuque,Iowa,IA,,,https://www.mahealthcare.com/find-a-doctor/profile/erika-odonnell/,Patient submitted,,United States
Curtis E. Page,,Dubuque,Iowa,IA,,,https://www.dbqobgyn.com/providers/,Patient submitted,,United States
Cara R. Leppellere,,Dubuque,Iowa,IA,,,https://www.unitypoint.org/providers/Cara-R-Leppellere-1163959,Patient submitted,,United States
James Turek,,Fort Dodge,Iowa,IA,,,https://doctors.unitypoint.org/provider/James+L.+Turek/1164041,Patient submitted,,United States
Abby Sexton,,Fort Dodge,Iowa,IA,,,https://doctors.unitypoint.org/provider/abby-sexton/2603557,,,United States
Elizabeth Tigges,,Grinnell,Iowa,IA,,,https://doctors.unitypoint.org/provider/Elizabeth+Tigges/1591203,,,United States
Abbey Hardy-fairbanks,,Iowa City,Iowa,IA,,,,,,United States
Kelly Ferroni,,Iowa City,Iowa,IA,,,,,,United States
Miriam Murray,,Iowa City,Iowa,IA,,,https://uihc.org/miriam-murray,Patient submitted ,,United States
Joseph J. Ehle,,Muscatine,Iowa,IA,,,https://uihc.org/providers/joseph-ehle,Patient submitted ,,United States
Angela Alich,,Sioux City,Iowa,IA,,,,Patient submitted ,,United States
Elizabeth Baker,,Waterloo,Iowa,IA,,,https://doctors.unitypoint.org/location/unity-point-clinic-ob-gyn-waterloo/LOC0000019489,,,United States
Elizabeth Boggs,,Waterloo,Iowa,IA,,,https://doctors.unitypoint.org/provider/Elizabeth+Boggs/2149566,Patient submitted ,,United States
Elizabeth Boggs,,Waterloo,Iowa,IA,,,,,,United States
Dawne Lowden,,Chanute,Kansas,KS,,,https://www.wilsonmedical.org/staff/bio.php?Dawne_Lowden_MD_OB_GYN&Womens_Health&doc_id=82099,,,United States
Megan Northup,,Emporia,Kansas,KS,,,https://www.stormontvail.org/provider/megan-r-northup-md/,,,United States
Lee Hodny,,Hays,Kansas,KS,,,,Patient submitted ,,United States
Jessica Poteet,,Hutchinson,Kansas,KS,,,,Patient submitted,,United States
Sarah Buchanan,,Hutchinson,Kansas,KS,,,https://www.hutchclinic.com/obgyn,Patient submitted,,United States
Beena Green,,Kansas City,Kansas,KS,,,,,LGBTQ+ friendly ,United States
Emily Martinelli,,Kansas City,Kansas,KS,,,,,,United States
Valerie French,,Kansas City,Kansas,KS,,,,Patient submitted ,,United States
Meredith Gray,,Kansas City,Kansas,KS,,,https://findadoctor.kansashealthsystem.com/provider/Meredith+K+Gray/1220959?utm_source=gmb&utm_medium=web&utm_term=&utm_content=&utm_campaign=kyruus_brandify,Patient submitted,,United States
Rabiya Suleman,,"Kansas City, Overland Park, Lansing",Kansas,KS,,,https://mymidwestphysician.com/physicians/profile/Dr-Rabiya-Suleman-MD,,,United States
All Partners In Her Office Also Available!,,Lawrence,Kansas,KS,,,https://www.lmh.org/get-care/obgyn/gynecological-services/,Patient submitted ,All partners in her office also available,United States
Logan Kracht,,Lawrence,Kansas,KS,,,https://www.lmh.org/providers/profile/logan-kracht/,Patient submitted,,United States
Phillip Moreano,,Lawrence,Kansas,KS,,,https://www.lmh.org/providers/profile/phillip-moreano/,Patient submitted ,,United States
Lynley Holman,,Lawrence,Kansas,KS,,,https://www.lmh.org/providers/profile/lynley-holman/,,,United States
Logan J. Kracht,,Lawrence,Kansas,KS,,,https://www.lmh.org/providers/profile/logan-kracht/,Patient submitted,,United States
Michele A. Bennett,,Lawrence,Kansas,KS,,,https://www.lmh.org/providers/profile/michele-bennett/,,,United States
Mackenzie E. Dikeman,,Manhattan,Kansas,KS,,,https://healthcare.ascension.org/find-care/provider/1053933523/mackenzie-dikeman,,,United States
Abigail Proffer,,Merriam,Kansas,KS,,,https://www.joco-obgyn.com/providers/abigail-proffer-md,,,United States
Amanda Healy,,Merriam,Kansas,KS,,,,Patient submitted ,,United States
Corinna Cooper,,Merriam,Kansas,KS,,,https://www.joco-obgyn.com/providers/corinna-a-cooper-md,,,United States
Jaclyn Piszczek,,Merriam,Kansas,KS,,,"https://www.joco-obgyn.com/providers/jaclyn-piszczek,-md",Patient submitted,,United States
Meghan Vaglio,,Merriam,Kansas,KS,,,https://www.joco-obgyn.com/providers/meghan-vaglio-md,,,United States
Crystal Taylor,,Merriam,Kansas,KS,,,https://wcjcobgyn.com/our-providers/crystal-taylor-md/,Patient submitted,,United States
Cheryl Rips,,Olathe,Kansas,KS,,,https://wcjcobgyn.com/our-providers/cheryl-rips/,Patient submitted,,United States
Kari Farris,,Olathe,Kansas,KS,,,https://www.newwomanobgyn.com/,Patient submitted,,United States
Sara Talken,,Olathe,Kansas,KS,,,https://mymidwestphysician.com/physicians/profile/Dr-Sara-Talken-MD,Patient submitted,,United States
Bret Gordon,,Overland Park,Kansas,KS,,,https://doctors.saintlukeskc.org/provider/Bret+S+Gordon/1458216,Patient submitted,,United States
Laura Parks,,Overland Park,Kansas,KS,,,https://mymidwestphysician.com/physicians/profile/Dr-Laura-Parks-MD,,,United States
Natasha Ahmed,,Overland Park,Kansas,KS,,,https://hcamidwest.com/physicians/profile/Dr-Natasha-Ahmed-MD,,,United States
Sarah Baldassaro,,Overland Park,Kansas,KS,,,https://mymidwestphysician.com/physicians/profile/Dr-Sarah-Baldassaro-MD,,,United States
Susan Ezell,,Overland Park,Kansas,KS,,,,Patient submitted ,,United States
Clare M. Hinchey,,Overland Park,Kansas,KS,,,https://doctors.saintlukeskc.org/provider/clare-m-hinchey/2353033,,,United States
Lisa Amsterdam,,Overland Park,Kansas,KS,,,https://www.rockhillwc.com/lisa-amsterdam-md-facog/,,,United States
Mary E. Brulja,,Overland Park,Kansas,KS,,,https://www.rockhillwc.com/mary-brulja-do/,,,United States
Julia C. Johnson,,Overland Park,Kansas,KS,,,https://www.rockhillwc.com/julia-johnson-md/,,,United States
Emily Martinelli,,Overland Park,Kansas,KS,,,https://www.rockhillwc.com/our-physicians/emily-martinelli-md/,,,United States
Kathleen Thill,,Overland Park,Kansas,KS,,,https://www.rockhillwc.com/kathleen-thill-md-mph/,,,United States
Natasha Ahmed,,Overland Park,Kansas,KS,,,https://www.townplazawomenshealth.com/physicians/natasha-ahmed-md/,Patient submitted,,United States
Carla Pearman,,Overland Park,Kansas,KS,,,https://www.rockhillwc.com/carla-pearman-md-facog/,,,United States
Roseanne Olmstead,,Parsons,Kansas,KS,,,,Patient submitted ,,United States
Michael S. Fenech,,Pittsburg,Kansas,KS,,,https://healthcare.ascension.org/find-care/provider/1588893697/michael-fenech,Patient submitted,,United States
Emily Budden,,Salina,Kansas,KS,,,https://www.srhc.com/physician-directory/obstetrics_gynecology/emily_budden.php,,,United States
Jessica Kieffer,,Topeka,Kansas,KS,,,,,,United States
Marie Rosenberger,,Topeka,Kansas,KS,,,https://kutopeka.com/find-a-provider/results?query=marie+rosenberger+md,,,United States
Alexana Meloccaro,,Wichita,Kansas,KS,,,https://www.awhobgyn.com/alexandra-meloccaro.html,,,United States
Anna Stork-fury,,Wichita,Kansas,KS,,,https://wesleymc.com/physicians/profile/Dr-Anna-F-Stork-Fury-DO,Patient submitted,,United States
Carla Burford,,Wichita,Kansas,KS,,,http://www.collegehillobgyn.com/our-caregivers/,,,United States
James Whiddon,,Wichita,Kansas,KS,,,,Patient submitted ,,United States
Rhea Rogers,,Wichita,Kansas,KS,,,,Patient submitted ,,United States
Jacqueline Beverlin,,Wichita,Kansas,KS,,,https://www.awhobgyn.com/provider/jaquelin-beverlin-md/,,,United States
Hilary Rainbolt,,Wichita,Kansas,KS,,,https://www.awhobgyn.com/provider/hilary-rainbolt-md-facog/,,,United States
Katelyn Twist,,Wichita,Kansas,KS,,,https://www.awhobgyn.com/provider/katelyn-twist-md/,,,United States
Clifford Depew,,Wichita,Kansas,KS,,,https://www.awhobgyn.com/provider/clifford-depew-md-facog/,Patient submitted ,,United States
Nathan Stice,,Bowling Green,Kentucky,KY,,,https://www.gravesgilbert.com/physicians/nathan-stice-m-d/,Patient submitted,,United States
Roger Sandelin,,Bowling Green,Kentucky,KY,,,https://www.gravesgilbert.com/physicians/roger-sandelin-m-d/,Patient submitted,,United States
Kim Frazier,,Campbellsville,Kentucky,KY,,,http://www.trhosp.org/,Patient submitted,,United States
Misty Thomopson,,Corbin,Kentucky,KY,,,,Patient submitted ,,United States
Richard Beaven,,Covington,Kentucky,KY,,,https://axiawh.com/providers/beaven-richard/,Patient submitted,,United States
Ashley Blake,,Cynthiana,Kentucky,KY,,,https://www.harrisonmemhosp.com/ashleyblake,,,United States
Erin Tuemler,,Edgewood,Kentucky,KY,,,https://www.stelizabethphysicians.com/providers/bio/erin-tuemler-md,Patient submitted,,United States
Jason Goodman,,Elizabethtown,Kentucky,KY,,,https://providers.baptisthealth.com/provider/Jason+Goodman/2166871,Patient submitted,,United States
Amy Preen,,Elizabethtown,Kentucky,KY,,,https://www.baptisthealth.com/providers/amy-preen-do-obstetrics-and-gynecology,Patient submitted,,United States
Anita L. Weisberger,,Fort Wright,Kentucky,KY,,,https://www.thechristhospital.com/physician-details?Provider=D2V40JSN09,Patient submitted,,United States
Laura S. Van Wyck,,Fort Wright,Kentucky,KY,,,https://www.thechristhospital.com/physician-details?Provider=%230010D2KAU,Patient submitted,,United States
Rebecca F. Mckenick,,Georgetown,Kentucky,KY,,,https://ukhealthcare.uky.edu/doctors/rebecca-mckendrick,,,United States
Sarah O'nan,,Henderson,Kentucky,KY,,,https://www.deaconess.com/DocBio/3239/Sarah_ONan_DO,Patient submitted,,United States
Jonathan L. Abbott,,Hopkinsville,Kentucky,KY,,,https://www.jenniestuarthealth.org/providers/jonathan-abbott-md/,Patient submitted,,United States
Tarek Toubia,,Hopkinsville,Kentucky,KY,,,https://www.jenniestuarthealth.org/providers/tarek-toubia-md-mscr/,Patient submitted,,United States
Jeannie L. Rowe,,Hopkinsville,Kentucky,KY,,,https://www.jenniestuarthealth.org/providers/jeannie-l-rowe-do/,Patient submitted ,,United States
Mark J. Lee,,Leitchfield,Kentucky,KY,,,https://www.owensborohealth.org/find-doctor/basic-profile/mark-lee,Patient submitted ,,United States
Bryan Rone,,Lexington,Kentucky,KY,,,https://ukhealthcare.uky.edu/doctors/bryan-rone,Patient submitted,,United States
Karen Schell,,Lexington,Kentucky,KY,,,https://www.baptisthealth.com/lexington/provider/karen-j-schell-md-obstetrics-gynecology,,,United States
Lauren Beaven,,Lexington,Kentucky,KY,,,https://axiawh.com/providers/beaven-lauren/,Patient submitted,,United States
Mark Hoffman,,Lexington,Kentucky,KY,,,https://ukhealthcare.uky.edu/doctors/mark-hoffman,Patient submitted ,,United States
Lex J. Gardner,,Lexington,Kentucky,KY,,,https://www.baptisthealth.com/providers/lex-j-gardner-md-obstetrics-and-gynecology,,,United States
Rachel M. Saunders,,Lexington,Kentucky,KY,,,https://ukhealthcare.uky.edu/doctors/rachel-saunders,Patient submitted,,United States
Pamela Midboe-penn,,Lexington,Kentucky,KY,,,https://ukhealthcare.uky.edu/doctors/pamela-midboe-penn,Patient submitted ,,United States
Lauren Beaven,,Lexington,Kentucky,KY,,,https://axiawh.com/providers/beaven-lauren/,Patient submitted,,United States
Elizabeth A. Case,,Lexington,Kentucky,KY,,,https://lexingtonclinic.com/doctors/elizabeth-a-case-md,,,United States
Joanna L. Santiesteban,,Lexington,Kentucky,KY,,,https://lexingtonclinic.com/doctors/joanna-l-santiesteban-md,,,United States
Tracey O. Carbajal,,Lexington,Kentucky,KY,,,https://www.baptisthealth.com/providers/tracey-o-carbajal-md-obstetrics-and-gynecology,,,United States
Tracey O Carbajal,,Lexington,Kentucky,KY,,,https://www.baptisthealth.com/providers/tracey-o-carbajal-md-obstetrics-and-gynecology,,,United States
Anna K Fietelson,,Louisville,Kentucky,KY,,,https://providers.nortonhealthcare.com/provider/Anna+K+Feitelson/471406,Patient submitted,,United States
Celia O’brien,,Louisville,Kentucky,KY,,,https://providers.nortonhealthcare.com/provider/Celia+Michelle+Johns+O'Brien/1597775,,,United States
Holly Brown,,Louisville,Kentucky,KY,,,http://www.wfoflou.com/about-us/dr-holly-brown.html,Patient submitted,,United States
Jessica Kline,,Louisville,Kentucky,KY,,,https://uoflhealth.org/provider/jessica-kline/,,,United States
Monica Brown,,Louisville,Kentucky,KY,,,https://providers.nortonhealthcare.com/provider/Monica+Anne+Brown/467610,Patient submitted,,United States
Katie V. Shannon,,Louisville,Kentucky,KY,,,https://wfoflou.com/welcome-katherine-v-shannon-m-d-our-newest-provider/,,,United States
Kristine A. Holthouser,,Louisville,Kentucky,KY,,,https://providers.nortonhealthcare.com/provider/kristine-a-holthouser/474324?utm_source=Yext,Patient submitted,,United States
Caitlin Thomas,,Louisville,Kentucky,KY,,,https://uoflhealth.org/provider/caitlin-thomas/,Patient submitted ,,United States
Kathryn R. Bradley,,Louisville,Kentucky,KY,,,https://providers.nortonhealthcare.com/provider/kathryn-r-bradley/1929356?utm_source=Yext,,,United States
Jennifer Ford,,Louisville & Shelbyville,Kentucky,KY,,,https://www.baptisthealth.com/provider/jennifer-heer-ford-md-obstetrics-gynecology,Patient submitted ,,United States
Matt Price,,Murray,Kentucky,KY,,,https://www.murrayhospital.org/providers/matt-price/,Patient submitted,,United States
Matthew Price,,Murray,Kentucky,KY,,,https://www.murrayhospital.org/find-a-provider/,Patient submitted,,United States
Amber D. Savells,,Paducah,Kentucky,KY,,,https://www.baptisthealth.com/providers/amber-d-savells-md-obstetrics-and-gynecology,Patient submitted ,,United States
Paul A. Walden,,Paducah,Kentucky,KY,,,https://www.baptisthealth.com/providers/paul-a-walden-md-obstetrics-and-gynecology,Patient submitted,,United States
Stewart Blair Tolar,,Paducah,Kentucky,KY,,,https://www.baptisthealth.com/providers/stewart-blair-tolar-md-gynecology,Patient submitted,,United States
Malisa Moss,,Pikeville,Kentucky,KY,,,https://www.pikevillehospital.org/providers/malisa-moss-do/,,,United States
Jessica Branham,,Prestonsburg,Kentucky,KY,,,https://www.arh.org/jessica-branham-d-o/,,,United States
Mary S. Montague,,Richmond,Kentucky,KY,,,https://www.baptisthealth.com/providers/mary-stewart-montague-md-obstetrics-and-gynecology,Patient submitted ,,United States
Alecia Fields,,Somerset,Kentucky,KY,,,https://www.lakecumberlandhospital.com/provider/1396164182/alecia-fields-do,,LGBTQ+ & Trans friendly ,United States
Nathan W. Baker,,Whitesburg,Kentucky,KY,,,https://www.mchcky.com/healthcare-providers,Patient submitted,,United States
Stephen Hall,,Frankfort,Kentucky,KY,,,,Patient submitted ,,United States
Allison Cook,,Lexington,Kentucky,KY,,,,Patient submitted ,,United States
Kara Wells,,Lexington,Kentucky,KY,,,,,,United States
Lindsey Eason,,Lexington,Kentucky,KY,,,https://www.lexingtonclinic.com/services/obsterics-gynecology,,,United States
Sara Petruska,,Louisville,Kentucky,KY,,,,,,United States
Rebecca Todd,,Morehead,Kentucky,KY,,,,Patient submitted ,,United States
Jennifer Fuson,,Nicholasville,Kentucky,KY,,,,Patient submitted ,,United States
Elizabeth Ottman,,Owensboro,Kentucky,KY,,,https://www.owensborohealth.org/find-doctor/basic-profile/elizabeth-ottman,Patient submitted ,,United States
Lian Chen,,Alexandria,Louisiana,LA,,,,,,United States
Patrick L. Tassin,,Alexandria,Louisiana,LA,,,https://alexwc.com/physician/patrick-l-tassin/,Patient submitted ,,United States
Neelima Sukhavasi,,Baton Rouge,Louisiana,LA,,,,,,United States
Sarah Davis,,Baton Rouge,Louisiana,LA,,,,Patient submitted ,,United States
Taylar L. Chiless-mckeithen,,Baton Rouge,Louisiana,LA,,,https://www.brgeneral.org/find-a-provider/taylar-l-childress-mckeithen-md/,Patient submitted,,United States
Jill Berger,,Gretna,Louisiana,LA,,,https://www.ochsner.org/doctors/jill-berger,,,United States
Diana D. Farge,,Kenner,Louisiana,LA,,,https://www.ochsner.org/doctors/diana-farge?utm_source=YextBing&utm_medium=Yext&y_source=1_MTU2NDgwMTktNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,Patient submitted ,,United States
Rachel Bezdek,,La Place,Louisiana,LA,,,,,,United States
Francis J. Cardinale,,Lafayette,Louisiana,LA,,,https://acadianawomens.com/francis-j-cardinale-md/,Patient submitted,,United States
May S. Thomasee,,Lafayette,Louisiana,LA,,,https://doctors.lourdesrmc.com/provider/may-s-thomassee/1337966,Patient submitted,,United States
Michelle R. Stutes,,Lafayette,Louisiana,LA,,,https://doctors.lourdesrmc.com/provider/Michelle+Renee+Stutes/1337504,Patient submitted,,United States
Darryl Elias,,Lafayette,Louisiana,LA,,,https://health.usnews.com/doctors/darryl-elias-397509,Patient submitted ,,United States
Armand Grimshaw,,Lake Charles,Louisiana,LA,,,,Patient submitted ,,United States
Rafiné Moreno-jackson,,Lake Charles,Louisiana,LA,,,https://www.lcmh.com/blog/2022/january/ob-gyn-rafine-moreno-jackson-md-joins-memorial/,,,United States
Elaine Koa,,New Orleans,Louisiana,LA,,,https://www.lcmchealth.org/find-a-provider/elaine-k-kao-md/,Patient submitted,,United States
Kathleen Sullivan,,New Orleans,Louisiana,LA,,,https://www.ochsner.org/doctors/kathleen-sullivan,Patient submitted,,United States
Paul Du Treil,,New Orleans,Louisiana,LA,,,,Patient submitted ,,United States
Paul Du Triel,,New Orleans,Louisiana,LA,,,,Patient submitted ,,United States
Rajiv Gala,,New Orleans,Louisiana,LA,,,https://www.ochsner.org/doctors/rajiv-gala,,,United States
Victoria Mchenry,,New Orleans,Louisiana,LA,,,https://www.ochsner.org/doctors/victoria-mchenry,,,United States
William T. Sargent,,New Orleans,Louisiana,LA,,,https://www.ochsner.org/doctors/william-sargent,Patient submitted,,United States
Amanda Bunton,,Shreveport,Louisiana,LA,,,,,,United States
Sarah Scotto,,Shreveport,Louisiana,LA,,,https://obgyn.highlandclinic.com/provider/sarah-m-scotto-m-d/,Patient submitted,,United States
Rhandi Wise,,Thibodaux,Louisiana,LA,,,https://thibodauxregionalwomensclinic.com/dr-rhandi-wise,,,United States
Michelle R Stutes,,Lafayette,Louisiana,LA,,,https://doctors.lourdesrmc.com/provider/Michelle+Renee+Stutes/1337504,Patient submitted,,United States
Johnathan Wise,,Thibodaux,Louisiana,LA,,,https://thibodauxregionalwomensclinic.com/dr-johnathan-wise,Patient submitted,,United States
Aimee Glidden,,Augusta,Maine,ME,,,https://watervillewomenscare.com/about-us/physicians/aimee-glidden-d-o-mph-facog/,,,United States
Michelle Montgomery,,Augusta,Maine,ME,,,,,,United States
Monica J. Tschirhart,,Augusta,Maine,ME,,,https://www.mainegeneral.org/find-a-doctor/profile/monica-tschirhart/,Patient submitted ,,United States
Morgan R. Abbey,,Augusta,Maine,ME,,,https://www.mainegeneral.org/find-a-doctor/profile/morgan-abbey-md/,Patient submitted ,,United States
Alec Anderson,,Bangor,Maine,ME,,,https://appointments.northernlighthealth.org/provider/Alec+Anderson/1901510,Patient submitted,,United States
Amanda Querry,,Bangor,Maine,ME,,,https://appointments.northernlighthealth.org/provider/amanda-querry/1901463,,,United States
Brian Wall,,Caribou,Maine,ME,,,https://www.carymedicalcenter.org/find-a-provider/,Patient submitted ,,United States
Brian Wall,,Caribou,Maine,ME,,,https://www.carymedicalcenter.org/find-a-provider/,Patient submitted,,United States
Barbara Mercado-stallard,,Ellsworth,Maine,ME,,,https://doctors.northernlighthealth.org/provider/Barbara+Mercado-Stallard/1901533?unified=obgyn&categories=clinical_keywords%2Cspecialties%2Cprovider_name%2Cpractice_group%2Cprimary_care&sort=networks%2Crelevance%2Cavailability_density_best&search_alerts=false&shuffle_seed=d6de77a6-fdcb-45c1-87b1-b87010f7418d&provider_fields=-clinical_keywords&page=3&from=search-list,Patient submitted,,United States
Jennifer A Zeliger,,Farmington,Maine,ME,,,https://www.mainehealth.org/Provider-Directory/Z/Zeliger-Jennifer-A,,,United States
Anne Merrick,,Lewiston,Maine,ME,,,https://www.cmhc.org/provider/anne-merrick/,,,United States
Tasha Duval,,Lewiston,Maine,ME,,,https://providers.cmhc.org/provider/Tasha+M.+Duval/2573141,,,United States
Carolyn P. Plourde,,Norway,Maine,ME,,,https://www.mainehealth.org/providers/carolyn-p-plourde-md,,,United States
Elisabeth Deeran,,Portland,Maine,ME,,,https://www.intermed.com/team/elisabeth-deeran-md/,Patient submitted,,United States
Robin Noble,,Portland,Maine,ME,,,https://www.intermed.com/team/robin-noble-md/,Patient submitted,,United States
Anea L. Pelletier,,Portland,Maine,ME,,,https://www.intermed.com/provider/andrea-pelletier-md-mph,Patient submitted,,United States
Alida Leavitt,,Portland,Maine,ME,,,https://www.intermed.com/provider/alida-leavitt-md,Patient submitted,,United States
Rebecca C. Hunt,,Portland,Maine,ME,,,https://www.mainehealth.org/providers/rebecca-c-hunt-md,Patient submitted ,,United States
Joyce Hebert,,Presque Isle,Maine,ME,,,https://doctors.northernlighthealth.org/provider/joyce-hebert/1902031,Patient submitted,,United States
John S. Pulvino,,Scarborough,Maine,ME,,,https://www.mainehealth.org/providers/john-s-pulvino-md,Patient submitted ,,United States
Barbara D. Slager,,Scarborough,Maine,ME,,,https://www.mainehealth.org/providers/barbara-d-slager-md,Patient submitted,,United States
Stephanye Doucette,,Waterville,Maine,ME,,,https://appointments.northernlighthealth.org/provider/Stephanye+Doucette/1902754,,,United States
Danielle Gagnon,,Waterville,Maine,ME,,,https://doctors.northernlighthealth.org/provider/Danielle+Gagnon/1902715?unified=danielle%20gagnon&categories=clinical_keywords%2Cspecialties%2Cprovider_name%2Cpractice_group%2Cprimary_care&sort=networks%2Crelevance%2Cavailability_density_best&from=search-list,Patient submitted ,,United States
Elizabeth Vienneau,,Annapolis,Maryland,MD,,,https://www.womenobgyn.com/doctors/elizabeth-vienneau-md/,Patient submitted,,United States
Nicolle Bougas,,Annapolis,Maryland,MD,,,https://www.myprivia.com/womenobgyn/providers/dr-nicolle-bougas,,,United States
Jessica Ton,,Annapolis,Maryland,MD,,,https://www.luminishealth.org/en/find-a-provider/jessica-ton?language_content_entity=en,,,United States
Marcus Penn,,Annapolis,Maryland,MD,,,https://www.myprivia.com/chesapeakewomenscare/providers/dr-marcus-penn,Patient submitted,,United States
Jessica Russell,,Annapolis,Maryland,MD,,,https://www.myprivia.com/chesapeakewomenscare/providers/dr-jessica-b-russell,Patient submitted,,United States
Justine Somoza,,Annapolis,Maryland,MD,,,https://www.myprivia.com/chesapeakewomenscare/providers/dr-justine-somoza,Patient submitted,,United States
Lauren M. Knightly,,Annapolis,Maryland,MD,,,https://www.myprivia.com/chesapeakewomenscare/providers/lauren-marie-knightly,Patient submitted,,United States
Elizabeth Ernst-signore,,Baltimore,Maryland,MD,,,https://www.cwcare.net/,,,United States
Hanh Thi-my Tran,,Baltimore,Maryland,MD,,,https://www.medstarhealth.org/doctors/hanh-thi-my-tran-md,Patient submitted,,United States
Jaden Kohn,,Baltimore,Maryland,MD,,,,,,United States
Jessica K. Lee,,Baltimore,Maryland,MD,,,https://www.umms.org/find-a-doctor/profiles/dr-jessica-k-lee-md-1710253307,,,United States
Stephen James Martin,,Baltimore,Maryland,MD,,,https://www.hopkinsmedicine.org/profiles/details/stephen-martin,Patient submitted,,United States
Jennifer Doorey,,Baltimore,Maryland,MD,,,https://profiles.hopkinsmedicine.org/provider/Jennifer+Doorey/2705497,,,United States
Namrata Singhania,,Baltimore,Maryland,MD,,,https://www.medstarhealth.org/,Patient submitted,,United States
Katrina S. Mark,,Baltimore,Maryland,MD,,,https://www.umms.org/find-a-doctor/profiles/dr-katrina-s-mark-md-1508025313,Patient submitted,,United States
Christine M. Helou,,Baltimore,Maryland,MD,,,https://www.gbmc.org/provider/christine-m-helou-md-gynecology,,,United States
Dionne D. Oliver,,Baltimore,Maryland,MD,,,https://www.oliverobgyn.com/,Patient submitted ,,United States
