full_name,credentials,city,state_full,state_code,province,country,website_url,submitted_by,comments,source_region
Talia Gates,,Jasper,Alabama,AL,,,https://www.brookwoodbaptisthealth.com/find-a-doctor/detail/talia-gates-1023337011,Patient submitted ,,United States
Elise Clem,MD,Madison,Alabama,AL,,,https://obgynalabama.com/dr-elise-klem/,,,United States
Morgan Tucker,,Madison & Decatur,Alabama,AL,,,https://obgynalabama.com/dr-tucker/,,,United States
Francie Ruzic,,Mobile,Alabama,AL,,,https://www.infirmaryhealth.org/doctors/francie-ohea-ruzic-md/,,,United States
Hope Mclean,,Mobile,Alabama,AL,,,https://springhillmedicalcenter.com/doctors/dr-hope-mclean-md,Patient submitted,,United States
John M. Val-gallas,,Mobile,Alabama,AL,,,https://bayareaobgyn.com/doctors/john-val-gallas/,Patient submitted,,United States
Maggie Kreuger,,Mobile,Alabama,AL,,,https://www.azaleacityphysicians.com/physicians/maggie-kreuger-md/,Patient submitted ,,United States
Meg Heusser,,Mobile,Alabama,AL,,,https://www.infirmaryhealth.org/doctors/meg-gardner-heusser-md/,,,United States
Quin Bixler,,Mobile,Alabama,AL,,,https://www.infirmaryhealth.org/doctors/quin-bixler-md/,,,United States
Brandi W. Trammell,,Mobile,Alabama,AL,,,https://mobileobgyn.com/about-us/trammell/,,,United States
Matthew E. Phillips,,Montgomery,Alabama,AL,,,https://www.baptistfirst.org/provider/matthew-e-phillips-md-obstetricsgynecology,Patient submitted ,,United States
Latoya Clark,,Montgomery,Alabama,AL,,,http://www.jackson.org/,Patient submitted,,United States
Keith C. Martin,,Montgomery,Alabama,AL,,,https://doctor.webmd.com/doctor/keith-martin-12ff1299-9623-4777-8432-86913deccea0-overview,Patient submitted,,United States
Thomas N. Malone,,Phenix City,Alabama,AL,,,https://www.msm.edu/about_us/BoardofTrustees/ThomasMalone.php,Patient submitted,,United States
Rozalyn Love,,Sheffield,Alabama,AL,,,https://www.helenkeller.com/clinics-physician-offices/keller-ob-gyn,,,United States
